,name,ASIN,Best Sellers Rank,Best_Sellers_Rank_fields,Manufacturer,Product Dimensions (inches),Item Weight (pounds),Date First Available,Is Discontinued By Manufacturer,Item model number,Batteries,Colour
42,Samsung Galaxy S8 64GB Phone - 5.8in Unlocked Smartphone - Midnight Black (Renewed),B076M9RQJ2,2622.0,Cell Phones & Accessories ,Samsung,5.86 x 0.31 x 2.68,0.88,2017-10-20,No,SM-G950U,1 Lithium ion batteries required.,Midnight Black
43,Unlocked Samsung Galaxy A70 - 128GB - Black - SM-A705U (Renewed),B08KSJLN31,16140.0,Cell Phones & Accessories ,Samsung,6.62 x 3.86 x 2.09,1.232,2020-10-06,,,1 Lithium ion batteries required. (included),Black
44,"Unlocked Smartphone, Ulefone Note 8 (2020) Android Phones Unlocked 2GB+16GB, Dual Rear Camera Triple Card Slots, 5.5"" IPS Full-Screen 3G Dual SIM Cell Phone Unlocked, 2700mAh, Face Recognition - Green",B08DFZ6JNT,4738.0,Cell Phones & Accessories ,Ulefone,5.58 x 2.62 x 0.47,0.8640000000000001,2020-07-22,,,1 Lithium ion batteries required. (included),Green
45,"Nokia 5.3 Fully Unlocked Smartphone with 6.55"" HD+ Screen, AI-Powered Quad Camera and Android 10, Cyan, 2020 (AT&T/T-Mobile/Cricket/Tracfone/Simple Mobile)",B088ZQ1J69,6127.0,Cell Phones & Accessories ,HMD Global,6.47 x 3.02 x 0.33,1.04,2020-05-21,,TA-1223,1 Lithium Polymer batteries required. (included),
46,"Samsung Galaxy A51 (128GB, 4GB) 6.5"", 48MP Quad Camera, Dual SIM GSM Unlocked A515F/DS- Global 4G LTE International Model (Prism Crush White)",B083NJRP1L,4598.0,Cell Phones & Accessories ,Samsung,2.87 x 0.31 x 6.22,1.072,2020-01-08,,GALAXY A51,1 Lithium Polymer batteries required. (included),Prism Crush White
47,"Rugged Unlocked Cell Phones, Blackview BV5500 Plus 4G Smartphones IP68 Waterproof Drop Proof, 5.5” 3GB+32GB Dual SIM [Quad Core] Android 10 4400mAh Battery and Face ID Mobile Phones, Black",B07T6ZDRHV,20238.0,Cell Phones & Accessories ,Blackview,5.98 x 2.95 x 0.55,1.264,2019-06-17,,BV5500 Plus Black,1 Lithium Polymer batteries required. (included),BLACK
48,"Samsung Galaxy S21 Ultra 5G | Factory Unlocked Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 8K Video, 108MP High Res | 512GB, Phantom Black",B08N2FS32C,1332.0,Cell Phones & Accessories ,Samsung,7.3 x 3.7 x 2.6,2.016,2021-01-14,,SM-G998UZKFXAA,1 Lithium ion batteries required. (included),
49,"Apobob Mate30 Unlocked Smartphones, 6.26 inch HD Smartphone, Android 9.0(AT&T/T-Mobile), Quad Rear Camera Phones, Dual SIM GSM Unlocked Cell Phones, 16GB+2GB RAM Mobile Phone, 2650 mAh Battery(Gray)",B08B3L7TBF,37031.0,Cell Phones & Accessories ,Apobob,6.3 x 3.54 x 0.35,1.104,2020-06-12,,,,Gray
50,"S20 Unlocked Smartphone, Cell Phone with Dual SIM Card Slot, 4 Core Cell Phone, 6.7"" HD Screen, 128G Memory Card, 8MP + 13MP Cameras, Android Mobile Phone(Blue)",B08BY7FS6L,369.0,Video Projectors,Ccylez,,2.144,2020-06-28,,,,
51,"14"" Screen Magnifier for Smartphone, 3D Screen Amplifier HD Mobile Phone Magnifier 3D Phone Projector Screen for Movie Video Live Broadcast Gaming, Fits All Phones, Blue",B08R1JCYP5,33889.0,Cell Phones & Accessories ,AnNido,12.24 x 8.07 x 0.91,1.08,2020-12-09,,,,Deep Black
52,"12"" Screen Magnifier –3D HD Mobile Phone Magnifier Projector Screen for Movies, Videos, and Gaming–Foldable Phone Stand with Screen Amplifier–Supports All Smartphones(Black)",B07YD4JHYF,1648.0,Cell Phones & Accessories ,Fanlory,10.47 x 7.13 x 0.71,1.9680000000000002,2019-09-25,,xsiw,,Black
53,"12"" Screen Magnifier – 3D HD Cell Phone Magnifing Screen Enlarger Projector for Movies Videos and Gaming – Foldable Phone Stand Holder with Screen Amplifier Compatible with All Smartphones",B08PYHDKSY,27342.0,Cell Phones & Accessories ,Tenlary,7 x 9 x 0.59,1.8719999999999999,2020-12-08,,,,Black
54,Foldable Cell Phone Stand - Senose Portable Angle Adjustable Desk Phone Holder Metal Base Desktop Stand with Stable Anti-Slip Design Compatible with iPhone/Smartphones/Kindle - Red,B08PVK5DP3,30467.0,Cell Phones & Accessories ,Senose,3 x 3 x 0.5,0.2048,2020-12-07,No,,,Red
