name,ASIN,Brand,Best_Sellers_Rank,Best_Sellers_Ranking_Fields,Product_Dimensions_inches,Item_Weight_pounds,Date_First_Available,Is_Discontinued_By_Manufacturer,Item_model_number,Batteries,Voltage,Series,National_Stock_Number,Chipset_Brand,Batteries_Required,Wireless_Type,Standing_screen_display_size,Max_Screen_Resolution,Part_Number,Item_Package_Quantity,Color,Number_of_USB_2point0_Ports,Number_of_USB_3point0_Ports,Computer_Memory_Type,Average_Battery_Life_in_hours,Processor_Count
"Psitek 36x16 Inches XXL Large Gaming Mouse Pad Extended Desk Keyboard Mousepad, Waterproof Cloth Surface Optimized for Precision, Durable Stitched Anti-Fray Edges Green",B08KVVQZQ6,,6164,Office,36 x 16 x 0.12,1.5,2020-10-08,No,Green3616,,,,,,,,,,,,,,,,,
Fort Nite Gaming Mouse Pad Waterproof Extended and Non-Slip Mouse Pads for Computers,B07WR4KQX4,Almighty Store,25667,Office,9.84 x 11.81 x 0.12,0.6368,2019-08-18,,gaming series 3,,,,,,,,,,,,Gaming Series 3,,,,,
"RGB Gaming Large Mouse pad,YCYCSY Professional LED Extended Black Mouse Pad,Extra Long Computer Keyboard Mouse Pads, Anti-Slip Rubber Base,Waterproof Keyboard Mouse Mat with 14 Lighting Modes",B07PRV5HW9,,8644,Office,31.5 x 11.8 x 0.2,1.5,2019-03-14,,mousepad001,,,,,,,,,,,,,,,,,
"Bluetooth Wireless Mouse for Mac/iPad OS 13/MacBook pro/Desktop/Laptop,Wireless Mouse for MacBook Air/Windows Linux/Notebook 2.4GHz Rechargeable Dual Mode Slim Wireless Mouse Silent USB Mice",B07YZMFF9Q,,434,Computer,4.76 x 2.8 x 1.46 ,0.8,2019-10-11,,,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,
"Ergonomic Wireless Mouse Cool Iron Man Mouse 2.4 G Portable Mobile Computer Click Silent Mouse Optical Mice with USB Receiver, Multi-Color Choosing for Notebook PC Laptop Computer Mac Book (Gold)",B085XX9XNL,,195,Computer,4.92 x 3.31 x 1.81 ,0.3936,2020-03-16,,,,,,,,,,,,,,,,,,,
"Bluetooth Mouse, Jelly Comb Rechargeable 2.4GHz Bluetooth Ergonomic Wireless Mouse (BT4.0+BT4.0+2.4G) Switch to 3 Devices for Mac OS MacBook Air Windows PC Android Tablet-(White and Silver)",B07Y66L5SR,Jelly Comb,368,Computer,4.54 x 3.03 x 1.58,0.8959999999999999,2019-09-21,,,,,,,,,,,,,,Silver and White,,,,,
"Wireless Mouse, WisFox 2.4G Silent Wireless Bluetooth Mouse, 3 Modes (Bluetooth 5.0/3.0 + USB), Portable Wireless Computer Mouse Ergonomic Mouse for Laptop Desktop Windows Mac iPad",B086HKCHV4,,353,Computer,4.49 x 2.56 x 1.46 ,0.2816,2020-03-28,,,,,,,,,,,,,,,,,,,
"Perixx Perimice-209 P, Wired PS2 Mouse with 1000 DPI Resolution, Black",B07WV55HZD,Perixx,145,Computer,4.33 x 2.24 x 1.5,0.5648,2019-08-23,,10442,,,PM-209PB-10442,,,,,,,,,Black,,,,,
"TUNJILOOL 2 in 1 Double-Sided Round Mouse Pad Waterproof PU Leather 220x220x22mm Protective Writing Pad, Suitable for Office Home(Light Blue/Silver)",B08P8PR6GN,TUNJILOOL,43595,Office,10.28 x 8.62 x 0.12 ,0.2752,2020-12-07,,,,,,,,,,,,,,Light Blue/Silver,,,,,
"Pro Gaming Mouse Pad (5mm) | Traverse Ridge Massive 46 inch | 46x17.3x0.20 Extra Thick | Black/Black | Dense Weave Speed Poly, Superior Control | Stitched Edge, Washable, Giant Large Desk Mat",B08RY7FQR1,,51955,Office,46 x 17.3 x 0.2,3.2,2018-10-06,,,,,,,,,,,,,,,,,,,
