,ASIN,title,rating,review_count,price,product_type
44,B088N774B7,Simple Mobile Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included - GSM,4.3,372,53.39,smartphone
45,B07Y5V9CSW,Simple Mobile Samsung Galaxy A20 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - GSM,4.4,30,144.66,smartphone
46,B087C9LDF7,Samsung Galaxy A31-128GB / 4GB - A315G/DSL Unlocked Dual Sim Phone w/Quad Camera 48MP+8MP+5MP+5MP GSM International Version (Prism Crush Black),4.4,547,237.0,smartphone
47,B084D89DBF,Moto G Power | 3-Day Battery1 | Unlocked | Made for US by Motorola | 4/64GB | 16MP Camera | 2020 | Black,4.6,5843,239.0,smartphone
48,B07R9XZSGL,3-Axis Gimbal Stabilizer for iPhone 12 11 PRO MAX X XR XS Smartphone Vlog Youtuber Live Video Record with Sport Inception Mode Face Object Tracking Motion Time-Lapse - Hohem iSteady Mobile Plus,4.3,6496,89.0,smartphone
49,B089Y446PX,"UMIDIGI S5 Pro Unlocked Cell Phones(6GB+256GB) 6.39"" FHD+ Ultra FullView Display, Quad Camera(48+16+5+5MP) Smartphone with in-Screen Fingerprint Sensor, 4680mAh Battery",4.2,399,299.99,smartphone
50,B085QK8WP1,Mobile Phone Screen Magnifier – Magnify Phone Screen with Bluetooth Speaker – Portable Screen Amplifier – Compatible with Android and iPhone Smartphones – 12-inch Screen with Foldable Stand,3.9,9412,21.95,smartphone
51,B087YY3FFB,"Motorola Moto G8 Power Lite 64GB, 4GB RAM, 5000 mAh Battery, 6.5' HD+ LTE Factory Unlocked Smartphone - International Version (Blue)",4.2,836,159.99,smartphone
52,B08CL51X7Y,Net10 Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included -CDMA,4.4,194,55.0,smartphone
53,B07Y5TTS2Q,TracFone Motorola Moto E6 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - CDMA,4.3,827,40.32,smartphone
54,B08CL51X7Y,Net10 Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included -CDMA,4.4,194,55.0,smartphone
55,B07Y5R4PWV,Net10 Samsung Galaxy A10e 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - SIM Card Included - CDMA,4.4,235,72.0,smartphone
56,B08NSWF8R8,"Ulefone Armor 10 5G Rugged Smartphones Unlocked, 8GB 128GB Waterproof Phones, 64MP AI Quad Camera, Android 10, 6.67 inch FHD, NFC, 5800mAh QI 15W Wireless Charging, Fingerprint/Face ID, Global Version",4.0,1,599.99,smartphone
57,B089Y446PX,"UMIDIGI S5 Pro Unlocked Cell Phones(6GB+256GB) 6.39"" FHD+ Ultra FullView Display, Quad Camera(48+16+5+5MP) Smartphone with in-Screen Fingerprint Sensor, 4680mAh Battery",4.2,399,299.99,smartphone
58,B08P1HBSNR,Phone Ring Holder Finger Kickstand 360°Rotation Ultra-Thin Cell Phone Back Grip Foldable Cellphone Stand Compatible with iPhone iPad Smartphones Tablets ( w/ Universal Magnetic Car Mount),4.6,54,12.79,smartphone
59,B08FDHSQ3Q,"Rugged Smartphone Ulefone Armor X5 Pro, Waterproof IP68 Dual SIM Unlocked Phones, Global 4G LTE, 8-Octa-core Android 10, 4GB+64GB, 5000mAh Battery, Face Recognition, Bluetooth, NFC, Compass -Black",4.2,60,169.99,smartphone
60,B07XRK35M7,"Unlocked Rugged Smartphones, Blackview BV5900 4G LTE Rugged Cell Phones with Android 10 IP68 Waterproof Drop Proof, 5.7"" Screen 3GB+32GB Dual SIM 5580mAh Battery for GSM AT&T T-Mobile, Black",4.0,438,154.99,smartphone
61,B0869S29LG,"RCA Reno 16GB, Android 10, 4G LTE Unlocked Smartphone (Gold)",3.6,6,69.99,smartphone
62,B088N774B7,Simple Mobile Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included - GSM,4.3,372,53.39,smartphone
63,B07Y5VKRLK,Simple Mobile Samsung Galaxy J2 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - GSM,4.2,30,59.0,smartphone
