,ASIN,title,rating,review_count,price,product_type
152,B087R47KFY,"Bluetooth Mouse, Jelly Comb Multi-Device Wireless Mouse (BT4.0+BT4.0+2.4G), Rechargeable Ergonomic Bluetooth Mouse, Control up to 3 Devices for Laptop MacBook Windows PC Tablet and More-Black",4.6,464,23.99,Mouse
159,B078LJ6RPK,"SteelSeries Rival 600 Gaming Mouse - 12,000 CPI TrueMove3Plus Dual Optical Sensor - 0.5 Lift-off Distance - Weight System - RGB Lighting",4.5,4627,78.05,Mouse
160,B08CMW4MSB,"Bluetooth Keyboard and Mouse Combo,Wireless Keyboard and Mouse for iPad pro/iPad Air/iPad/iPad Mini, iPhone (iPadOS 13 / iOS 13 and Above), (Rose Gold)",4.4,624,28.89,Mouse
161,B082V72DNB,"Wireless Keyboard and Mouse Combo, TopMate 2.4G Ultra Slim Compact Full Size Quiet Scissor Switch Keyboard and Mice Set for Windows, Mac OS, Laptop, PC - (Gray-Black)",4.3,1576,34.77,Mouse
163,B08GBYD9C6,"AUKEY Gaming Mouse Pad XXXL (47.2” x 23.6” x 0.12”), Oversized Extended Mouse Mat, Non-Slip 3XL Mouse Pad, Super-Thick with Special-Textured Surface, Anti-Fray Stitched Edges for Full Desk",4.8,308,39.99,Mouse
177,B07XDWCLYF,"Wireless Keyboard and Mouse, WisFox Full-Size Wireless Mouse and Keyboard Combo, 2.4GHz Silent USB Wireless Keyboard Mouse Combo for PC Desktops Computer, Laptops, Windows",4.5,5038,29.99,Mouse
178,B07ZQ6RC11,"Wireless Ergonomic Mouse, Jelly Comb Rechargeable 2.4G Bluetooth Vertical Mouse Switch to 3 Devices Optical Mice with 6 Buttons 3 Adjustable DPI Levels for Laptop, PC, MacBook, Notebook",4.4,761,19.99,Mouse
179,B07ZK8ZGTT,"Inphic Wired USB Mouse, Silent Click and Optical Tracking,1200DPI, 3-Button, Corded Mouse for PC Computer Laptop MacBook Office, Black",4.5,1310,8.99,Mouse
180,B08GZ1NDGR,"VictSing Wireless Gaming Mouse, 9 RGB Backlit Modes, Up to 10000 DPI, 10 Programmable Buttons Fire Button, Type-C Rechargeable PC Mouse for PC Gamers",4.6,101,28.99,Mouse
181,B07FFPGLYX,"Razer Mouse Bungee V2, Black",4.8,1484,19.89,Mouse
